Batting_ID,Innings,Venue,Team,Start Date,End Date,BATTING,Dismissal type,R,B,M,4s,6s,SR
1,1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,Sourav Ganguly c,c Kallis b Khan,10,12,,2,0,83.33
2,1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,Brendon McCullum ,not out,158,73,,10,13,216.43
3,1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,Ricky Ponting,c Kumar b Kallis,20,20,,1,1,100.00
4,1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,David Hussey,c White b Noffke,12,12,,1,0,100.00
5,1st match (N),Bengaluru,KKR,18-April-2008,18-April-2008,Mohammad Hafeez,not out,5,3,,1,0,166.66
6,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Rahul Dravid c,b Sharma,2,3,,0,0,66.66
7,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Wasim Jaffer,c Ponting b Dinda,6,16,,0,0,37.50
8,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Virat Kohli,b Dinda,1,5,,0,0,20.00
9,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Jacques Kallis,c Kartik b Agarkar,8,7,,0,1,114.28
10,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Cameron White,c Saha b Agarkar,6,10,,0,0,60.00
11,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Mark Boucher ,c Kartik b Ganguly,7,9,,1,0,77.77
12,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Balachandra Akhil,c Ponting b Agarkar,0,2,,0,0,0.00
13,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Ashley Noffke,run out AgarkarSaha,9,10,,1,0,90.00
14,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Praveen Kumar,not out,18,15,,1,2,120.00
15,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Zaheer Khan,b Ganguly,3,8,,0,0,37.50
16,1st match (N),Bengaluru,RCB,18-April-2008,18-April-2008,Sunil Joshi,c McCullum b Shukla,3,6,,0,0,50.00
17,2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Parthiv Patel,c Sangakkara b Lee,15,10,,3,0,150.00
18,2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Matthew Hayden,b Pathan,25,17,,4,1,147.05
19,2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Michael Hussey,not out,116,54,,8,9,214.81
20,2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,MS Dhoni c,lbw b Hopes,2,3,,0,0,66.66
21,2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Suresh Raina,c Pathan b Mota,32,13,,2,3,246.15
22,2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,Jacob Oram,b Pathan,13,10,,0,1,130.00
23,2nd match (D/N),Mohali,CSK,19-April-2008,19-April-2008,S Badrinath,not out,31,14,,3,2,221.42
24,2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,Karan Goel,c Patel b Gony,24,19,,2,1,126.31
25,2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,James Hopes,c Joginder Sharma b Amarnath,71,33,,10,3,215.15
26,2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,Kumar Sangakkara ,c Joginder Sharma b Muralidaran,54,33,,5,2,163.63
27,2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,Yuvraj Singh c,c Amarnath b Joginder Sharma,23,13,,1,2,176.92
28,2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,Simon Katich,not out,21,17,,0,1,123.52
29,2nd match (D/N),Mohali,KXIP,19-April-2008,19-April-2008,Irfan Pathan,not out,3,5,,0,0,60.00
30,3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Taruwar Kohli,c Manhas b McGrath,7,12,,0,1,58.33
31,3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Yusuf Pathan,run out ManhasGeeves,10,5,,2,0,200.00
32,3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Shane Watson,run out DhawanBhatia,21,15,,3,0,140.00
33,3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Mohammad Kaif,c Geeves b Bhatia,9,19,,0,0,47.36
34,3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Darren Lehmann,lbw b Maharoof,1,2,,0,0,50.00
35,3rd match (N),Delhi,RR,19-April-2008,19-April-2008,Ravindra Jadeja,b Vettori,29,23,,2,2,126.08
